Campaign,Ad Group,Keyword,Match Type,Max CPC
Medical Mystery Solver,Diabetes Reversal,reverse type 2 diabetes naturally,Phrase,4.50
Medical Mystery Solver,Diabetes Reversal,reverse diabetes without medication,Phrase,4.25
Medical Mystery Solver,Diabetes Reversal,type 2 diabetes reversal,Exact,5.00
Medical Mystery Solver,Diabetes Reversal,diabetes reversal program,Exact,4.75
Medical Mystery Solver,Diabetes Reversal,reverse diabetes diet,Phrase,3.50
Medical Mystery Solver,Diabetes Reversal,how to reverse type 2 diabetes,Phrase,4.00
Medical Mystery Solver,Diabetes Reversal,natural diabetes treatment,Phrase,3.75
Medical Mystery Solver,Hormone Issues,hormone imbalance symptoms,Phrase,3.50
Medical Mystery Solver,Hormone Issues,hormone replacement therapy,Phrase,4.00
Medical Mystery Solver,Hormone Issues,balance hormones naturally,Phrase,3.25
Medical Mystery Solver,Hormone Issues,hormone doctor near me,Phrase,4.50
Medical Mystery Solver,Hormone Issues,bioidentical hormone therapy,Phrase,4.25
Medical Mystery Solver,Hormone Issues,hormone specialist,Exact,4.00
Medical Mystery Solver,Thyroid Treatment,thyroid treatment options,Phrase,3.50
Medical Mystery Solver,Thyroid Treatment,thyroid doctor san diego,Phrase,4.25
Medical Mystery Solver,Thyroid Treatment,hypothyroid treatment,Phrase,3.75
Medical Mystery Solver,Thyroid Treatment,hashimoto's treatment,Phrase,4.00
Medical Mystery Solver,Thyroid Treatment,thyroid specialist near me,Phrase,4.50
Medical Mystery Solver,Autoimmune Solutions,autoimmune disease treatment,Phrase,3.75
Medical Mystery Solver,Autoimmune Solutions,functional medicine autoimmune,Phrase,4.25
Medical Mystery Solver,Autoimmune Solutions,autoimmune doctor,Exact,4.00
Medical Mystery Solver,Autoimmune Solutions,natural autoimmune treatment,Phrase,3.50
Medical Mystery Solver,Chronic Fatigue,chronic fatigue treatment,Phrase,3.50
Medical Mystery Solver,Chronic Fatigue,chronic fatigue syndrome doctor,Phrase,4.00
Medical Mystery Solver,Chronic Fatigue,why am i always tired,Phrase,3.00
Medical Mystery Solver,Chronic Fatigue,adrenal fatigue treatment,Phrase,3.75
Medical Mystery Solver,Gut Health,leaky gut treatment,Phrase,3.50
Medical Mystery Solver,Gut Health,gut health doctor,Phrase,3.75
Medical Mystery Solver,Gut Health,functional medicine gut health,Phrase,4.00
Medical Mystery Solver,Gut Health,microbiome testing,Phrase,3.25
